year,sector_id,number_of_jobs,cid
2044,9,57369,49
2044,10,19594,49
2044,11,3232,49
2044,12,20840,49
2044,1,9590,57
2044,2,14369,57
2044,3,26842,57
2044,4,20683,57
2044,5,19502,57
2044,6,14535,57
2044,7,43794,57
2044,8,253,57
2044,9,17015,57
2044,10,8501,57
2044,11,1375,57
2044,12,4497,57
2045,1,14238,11
2045,2,25519,11
2045,3,50314,11
2045,4,27255,11
2045,5,17586,11
2045,6,31468,11
2045,7,61019,11
2045,8,201,11
2045,9,25897,11
2045,10,11714,11
2045,11,1273,11
2045,12,7684,11
2045,1,71197,35
2045,2,95619,35
2045,3,183083,35
2045,4,121641,35
2045,5,73849,35
2045,6,207719,35
2045,7,328433,35
2045,8,4361,35
2045,9,104926,35
2045,10,98382,35
2045,11,1539,35
2045,12,41618,35
2045,1,31720,49
2045,2,58438,49
2045,3,81757,49
2045,4,59994,49
2045,5,28387,49
2045,6,99931,49
2045,7,128937,49
2045,8,1067,49
2045,9,58431,49
2045,10,19655,49
2045,11,3236,49
2045,12,21374,49
2045,1,9697,57
2045,2,14740,57
2045,3,26960,57
2045,4,20882,57
2045,5,19622,57
2045,6,14682,57
2045,7,44031,57
2045,8,257,57
2045,9,17236,57
2045,10,8459,57
2045,11,1371,57
2045,12,4565,57
2046,1,14411,11
2046,2,26248,11
2046,3,50693,11
2046,4,27718,11
2046,5,17546,11
2046,6,31804,11
2046,7,61404,11
2046,8,201,11
2046,9,26313,11
2046,10,11688,11
2046,11,1290,11
2046,12,7814,11
2046,1,71994,35
2046,2,98269,35
2046,3,184608,35
2046,4,123520,35
2046,5,73892,35
2046,6,210363,35
2046,7,330758,35
2046,8,4359,35
2046,9,106468,35
2046,10,98271,35
2046,11,1553,35
2046,12,42411,35
2046,1,32223,49
2046,2,60144,49
2046,3,82871,49
2046,4,61096,49
2046,5,28546,49
2046,6,101675,49
2046,7,130521,49
2046,8,1079,49
2046,9,59463,49
2046,10,19742,49
2046,11,3241,49
2046,12,21926,49
2046,1,9782,57
2046,2,15135,57
2046,3,27087,57
2046,4,21103,57
2046,5,19676,57
2046,6,14815,57
2046,7,44279,57
2046,8,261,57
2046,9,17446,57
2046,10,8428,57
2046,11,1367,57
2046,12,4666,57
2047,1,14636,11
2047,2,26974,11
2047,3,51077,11
2047,4,28172,11
2047,5,17441,11
2047,6,32065,11
2047,7,61742,11
2047,8,201,11
2047,9,26762,11
2047,10,11656,11
2047,11,1305,11
2047,12,7977,11
2047,1,73065,35
2047,2,101002,35
2047,3,186197,35
2047,4,125367,35
2047,5,73656,35
2047,6,212612,35
2047,7,332726,35
2047,8,4346,35
2047,9,108183,35
2047,10,98096,35
2047,11,1568,35
2047,12,43321,35
2047,1,32834,49
2047,2,61910,49
2047,3,83988,49
2047,4,62164,49
2047,5,28590,49
2047,6,103262,49
2047,7,131976,49
2047,8,1089,49
2047,9,60583,49
2047,10,19812,49
2047,11,3245,49
2047,12,22479,49
2047,1,9907,57
2047,2,15536,57
2047,3,27222,57
2047,4,21328,57
2047,5,19663,57
2047,6,14923,57
2047,7,44509,57
2047,8,264,57
2047,9,17689,57
2047,10,8393,57
2047,11,1365,57
2047,12,4738,57
2048,1,14884,11
2048,2,27681,11
2048,3,51475,11
2048,4,28629,11
2048,5,17327,11
2048,6,32246,11
2048,7,62096,11
2048,8,200,11
2048,9,27232,11
2048,10,11627,11
2048,11,1321,11
2048,12,8109,11
2048,1,74258,35
2048,2,103722,35
2048,3,187806,35
2048,4,127257,35
2048,5,73362,35
2048,6,214293,35
2048,7,334790,35
2048,8,4321,35
2048,9,109978,35
2048,10,97920,35
2048,11,1582,35
2048,12,44168,35
2048,1,33495,49
2048,2,63678,49
2048,3,85107,49
2048,4,63274,49
2048,5,28613,49
2048,6,104574,49
2048,7,133482,49
2048,8,1094,49
2048,9,61755,49
2048,10,19879,49
2048,11,3250,49
2048,12,23011,49
2048,1,10049,57
2048,2,15933,57
2048,3,27362,57
2048,4,21555,57
2048,5,19636,57
2048,6,14990,57
2048,7,44745,57
2048,8,267,57
2048,9,17945,57
2048,10,8359,57
2048,11,1363,57
2048,12,4806,57
2049,1,15099,11
2049,2,28375,11
2049,3,51867,11
2049,4,29089,11
2049,5,17208,11
2049,6,32573,11
2049,7,62386,11
2049,8,199,11
2049,9,27676,11
2049,10,11591,11
2049,11,1338,11
2049,12,8275,11
2049,1,75280,35
2049,2,106409,35
2049,3,189381,35
2049,4,129109,35
2049,5,73026,35
2049,6,216437,35
2049,7,336250,35
2049,8,4308,35
2049,9,111662,35
2049,10,97685,35
2049,11,1597,35
2049,12,44757,35
2049,1,34094,49
2049,2,65493,49
2049,3,86227,49
2049,4,64424,49
2049,5,28622,49
2049,6,106359,49
2049,7,134866,49
2049,8,1104,49
2049,9,62889,49
2049,10,19938,49
2049,11,3255,49
2049,12,23535,49
2049,1,10170,57
2049,2,16325,57
2049,3,27506,57
2049,4,21785,57
2049,5,19604,57
2049,6,15125,57
2049,7,44941,57
2049,8,270,57
2049,9,18193,57
2049,10,8322,57
2049,11,1361,57
2049,12,4898,57
2050,1,15216,11
2050,2,29054,11
2050,3,52480,11
2050,4,29507,11
2050,5,17049,11
2050,6,32869,11
2050,7,62602,11
2050,8,198,11
2050,9,28072,11
2050,10,11544,11
2050,11,1354,11
2050,12,8408,11
2050,1,75866,35
2050,2,109199,35
2050,3,191139,35
2050,4,130863,35
2050,5,72549,35
2050,6,218422,35
2050,7,337409,35
2050,8,4285,35
2050,9,113265,35
2050,10,97397,35
2050,11,1610,35
2050,12,45574,35
2050,1,34478,49
2050,2,67354,49
2050,3,87309,49
2050,4,65579,49
2050,5,28566,49
2050,6,108056,49
2050,7,136091,49
2050,8,1111,49
2050,9,63958,49
2050,10,19975,49
2050,11,3256,49
2050,12,24172,49
2050,1,10233,57
2050,2,16731,57
2050,3,27743,57
2050,4,22000,57
2050,5,19534,57
2050,6,15253,57
2050,7,45097,57
2050,8,273,57
2050,9,18427,57
2050,10,8280,57
2050,11,1358,57
2050,12,4976,57
2051,1,15344,11
2051,2,29757,11
2051,3,52686,11
2051,4,29955,11
2051,5,16935,11
2051,6,33116,11
2051,7,62975,11
2051,8,198,11
2051,9,28495,11
2051,10,11522,11
2051,11,1371,11
2051,12,8545,11
2051,1,76422,35
2051,2,111981,35
2051,3,192520,35
2051,4,132518,35
2051,5,72135,35
2051,6,219860,35
2051,7,338902,35
2051,8,4269,35
2051,9,114845,35
2051,10,97177,35
2051,11,1623,35
2051,12,46381,35
2051,1,34832,49
2051,2,69224,49
2051,3,88342,49
2051,4,66732,49
2051,5,28519,49
2051,6,109527,49
2051,7,137399,49
2051,8,1119,49
2051,9,65014,49
2051,10,20024,49
2051,11,3257,49
2051,12,24659,49
2051,1,10300,57
2051,2,17144,57
2051,3,27812,57
2051,4,22217,57
2051,5,19494,57
